,Shape,Price,Carat,Cut,Color,Clarity,Polish,Symmetry,Depth,Table,L/W
20347,Princess,11328,1.82,Very Good,F,SI1,Excellent,Very Good,73.0,68,1.02
20348,Round,11326,1.41,Ideal,H,VVS1,Excellent,Excellent,62.0,57,1.01
20349,Round,11325,1.3,Ideal,E,VS1,Excellent,Excellent,62.5,58,1
20350,Round,11325,1.51,Good,G,VS1,Excellent,Excellent,63.6,59,1.01
20351,Round,11325,1.0,Ideal,D,VVS1,Excellent,Excellent,61.2,61,1.01
20352,Round,11325,1.0,Ideal,D,VVS1,Excellent,Excellent,62.4,56,1
20353,Round,11325,1.21,Ideal,D,VVS2,Excellent,Excellent,62.1,57,1
20354,Round,11325,1.15,Ideal,G,VVS1,Excellent,Excellent,62.0,58,1.01
20355,Round,11325,1.66,Ideal,H,SI1,Excellent,Excellent,62.6,57,1.01
20356,Princess,11324,2.31,Very Good,J,SI1,Excellent,Very Good,72.4,74,1
20357,Round,11323,1.52,Ideal,I,IF,Excellent,Excellent,62.0,59,1.01
20358,Round,11320,1.16,Ideal,E,VVS1,Excellent,Excellent,62.2,58,1.01
20359,Round,11317,1.51,Ideal,E,SI1,Excellent,Excellent,62.3,57,1
20360,Marquise,11317,1.08,Very Good,D,FL,Excellent,Very Good,61.5,60,1.97
20361,Marquise,11317,2.08,Good,J,SI1,Good,Good,59.6,65,2.38
20362,Round,11317,1.64,Ideal,H,SI1,Excellent,Excellent,61.9,57,1.01
20363,Round,11317,1.53,Ideal,H,VS2,Excellent,Excellent,62.9,57,1.01
20364,Round,11316,1.29,Ideal,D,VS2,Excellent,Excellent,62.0,59,1.01
20365,Round,11315,1.73,Ideal,F,SI2,Excellent,Excellent,62.9,58,1.01
20366,Oval,11314,1.2,Very Good,D,VVS1,Very Good,Very Good,62.3,60,1.39
20367,Emerald,11314,2.05,Very Good,J,VS1,Excellent,Excellent,67.2,64,1.42
